Question,Answer,Filename
What is the Document Name for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,['MARKETING AFFILIATE AGREEMENT'],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Agreement Date for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,"['8th day of May 2014', 'May 8, 2014']",CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Effective Date for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,['This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company'],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Expiration Date for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,['This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company and shall remain in effect until the end of the current calendar year and shall be automatically renewed for successive one (1) year periods unless otherwise terminated according to the cancellation or termination provisions contained in paragraph 18 of this Agreement.'],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Renewal Term for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,['This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company and shall remain in effect until the end of the current calendar year and shall be automatically renewed for successive one (1) year periods unless otherwise terminated according to the cancellation or termination provisions contained in paragraph 18 of this Agreement.'],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Governing Law for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,"['This Agreement is accepted by Company in the State of Nevada and shall be governed by and construed in accordance with the laws thereof, which laws shall prevail in the event of any conflict.']",CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Most Favored Nation for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Exclusivity for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Competitive Restriction Exception for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,[],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
What is the Minimum Commitment for the contract between Mount Kowledge Holdings Inc. and Birch First Global Investments Inc.?,['INITIAL ORDER COMMITMENT - MA commits to purchase a minimum of 100 Units in aggregate within the Territory within the first six months of term of this Agreement.'],CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
