Filename,Cleaned_Parties
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,"['Birch First Global Investments Inc.', 'Mount Kowledge Holdings Inc.']"
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,"['Rogers Cable Communications Inc.', 'EuroMedia Holdings Corp.']"
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,"['CONVERGTV,\xa0INC.', 'Fulucai Productions Ltd.']"
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,"['PSiTech Corporation', 'Empirical Ventures, Inc']"
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,"['Beijing Sun Seven Stars Culture Development Limited', 'YOU ON DEMAND HOLDINGS, INC']"
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,"['RSL COM PrimeCall, Inc.', 'deltathree.com, Inc.']"
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,"['WOMEN.COM NETWORKS, INC.', 'EDIETS.COM, INC.']"
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,"['INTEGRITY INCORPORATED', 'TIME LIFE, INC. d/b/a Time Life Music']"
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,"['Marine MP, LLC', 'Arnold Schwarzenegger', 'Fitness Publications, Inc.', 'Lender, Endorser and Fitness', 'MusclePharm Corporation']"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,"['Skype Communications, S.A.', 'Skype Technologies, S.A.', 'TOM Online  limited', 'TOM Online Inc.', 'Tel Online Limited . Skype, Online BVI and the Company', 'Skype, Online BVI, the Company, Skype Holding and Tom Holding']"
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,"['Howmedica Ostenonics Corp.', 'Conformis, Inc.', 'Stryker and Conformis']"
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"['Eton Pharmaceuticals, Inc.', 'Aucta Pharmaceuticals, Inc.']"
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,"['ExxonMobil Research and Engineering Company', 'FuelCell Energy, Inc.']"
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,"[""Reed's, Inc."", 'BC Marketing Concepts Inc., dba Full Sail Brewing Company']"
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,"['Signature Orthopaedics Pty Ltd', 'CPM Medical Consultants, LLC']"
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,"['B & C General Warehouse Corporation LLC', 'XXXXXXXXXXXXXXXXXXXXX']"
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,"['iMine Corporation', 'SUNWAI Technology']"
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,"['Erchonia Corporation', 'InnerScope Hearing Technologies Inc']"
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,"['WATER NOW, INC.', 'Hydraspin USA, Inc.', 'BESTEV MANAGEMENT, LLC', 'Hydraspin and Distributor']"
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,"['National Football League Alumni - Northern California Chapter', 'National Football League Alumni, Inc', 'Food For Athletes, Inc./ Gridiron Gridiron BioNutrients™']"
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,"['Eco Science Solutions, Inc', 'Stephen Marley']"
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,"['The Naked Brands Group, Inc', 'Wade Enterprises, LLC', 'f/s/o Dwayne Wade', 'Wade Enterprises, Athlete and togetherwith Naked,']"
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,"['TOWN OF VINTON, VIRGINIA', 'ROANOKE GAS COMPANY']"
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,"['Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company']"
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"['FreeCook', ""Mitchell's Web Advance, PLC""]"
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,"['Elephant Talk Communication Holding AG', 'T-Mobile Netherlands B.V.']"
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,"['VITALIBIS INC', 'VOTOCAST, Inc.']"
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,"['International Business Machines Corporation', 'The Quantum Group Inc.']"
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"['NUANCE COMMUNICATIONS, INC', 'CERENCE INC.']"
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.']"
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,"['Synchron', 'Rare Element Resources Ltd.']"
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,"['Artara Therapeutics, Inc.', 'The University of Iowa']"
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,"['NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame', 'HOF Village, LLC', 'HOF Village, LLC']"
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,"['Vyera Pharmaceuticals, LLC', 'CytoDyn Inc.', 'CytoDyn and Vyera']"
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,"['The John Hopkins University', 'Virtuoso Surgical, Inc.']"
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,"['Commnet Wireless, LLC', 'AT&T Mobility LLC']"
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,"['BLOOM ENERGY CORPORATION', 'DIAMOND STATE GENERATION PARTNERS, LLC']"
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,"['Leader Act Ltd', 'EZJR, Inc.']"
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,"['INVASIX LTD.', 'FLEXTRONICS ISRAEL LTD.']"
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,"['Dong-A ST Co., Ltd.', 'NeuroBo Pharmaceuticals, Inc.']"
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,"['DEXCEL LTD.', 'KITOV Pharma Ltd.']"
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,"['Pifzer Inc.', 'Upjohn Inc.']"
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,"['ALPS Distributors, Inc.', 'S2K Financial LLC']"
